Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name
2304275,MR. GING CHOP SUEY INC.,Restaurant,1.0,2019-08-07,2,"['3', '5', '55', '55']",PORTAGE PARK
2579009,LIRICA,Restaurant,1.0,2023-07-25,2,"['10', '10', '10', '48']",
2304285,SOULE CHICAGO CORP.,Restaurant,1.0,2019-08-07,0,"['3', '5', '23', '37', '38', '41', '51', '54', '55', '55', '55', '58']",WEST TOWN
2304286,FLEMING'S PRIME STEAKHOUSE & WINEBAR,Restaurant,1.0,2019-08-07,2,"['3', '36', '44', '44']",NEAR NORTH SIDE
2304303,WEST RIVER CAFE,Restaurant,1.0,2019-08-08,2,"['3', '5', '10', '16', '23', '25', '36', '39', '47', '47', '47', '49', '55', '55', '55', '56', '58']",ALBANY PARK
2304304,OPEN KITCHENS,Catering,1.0,2019-08-08,2,"['47', '48', '48', '53', '55']",LOWER WEST SIDE
2304315,FOUR A'S FOOD INC,Grocery Store,2.0,2019-08-08,2,"['5', '55', '55', '56']",EAST GARFIELD PARK
2304316,PENNY'S ROSCOE,Restaurant,1.0,2019-08-08,2,"['3', '5', '38', '51', '53', '53', '56', '58']",LAKE VIEW
2304323,"MAYA SUPERSTORE, INC.",Grocery Store,2.0,2019-08-08,0,"['3', '5', '10', '38', '47', '47', '48', '49', '49', '50', '51', '51', '53', '54', '54', '55', '55', '57']",CHICAGO LAWN
2304332,THE MEDICI,Restaurant,1.0,2019-08-08,0,"['38', '41', '55', '55']",HYDE PARK
2304341,HEALTHY KIDS KITCHEN,Catering,1.0,2019-08-08,0,"['3', '5', '25', '37', '38', '38', '49', '49', '55', '55', '55', '56', '57', '58']",UPTOWN
2304361,PETERSON FOOD MART,Grocery Store,3.0,2019-08-08,0,"['5', '28', '38', '47', '49', '53', '55', '55', '55', '55']",WEST RIDGE
2304363,WING WAH LAU RESTAURANT,Restaurant,1.0,2019-08-08,2,"['3', '5', '23', '37', '41', '47', '47', '53', '55', '57', '58']",BRIGHTON PARK
2304367,"JERUSALEM GRILL, INC",Restaurant,1.0,2019-08-08,2,"['5', '47', '55', '55', '56', '58']",BELMONT CRAGIN
2304371,KHYBER PASS,Restaurant,1.0,2019-08-08,0,"['3', '5', '23', '36', '37', '38', '43', '47', '47', '48', '49', '51', '52', '53', '55', '56', '57', '58']",LAKE VIEW
2304372,HAROLD'S CHICKEN,Restaurant,2.0,2019-08-08,2,"['3', '5', '36', '55', '55']",NEAR WEST SIDE
2304375,THE KIDS' TABLE,Restaurant,1.0,2019-08-08,0,"['10', '10', '10', '38', '48', '48', '49', '55', '55', '55', '55', '56', '61']",WEST TOWN
2304391,"NUTS ON CLARK T5 O'HARE INTERNATIONAL AIRPORT, INC",Restaurant,2.0,2019-08-09,2,"['3', '5', '10', '48', '55', '55', '55', '57']",OHARE
2304410,SIAM  TREASURE,Restaurant,1.0,2019-08-09,2,"['5', '23', '37', '43', '47', '47', '49', '51', '54', '55']",EDISON PARK
2578973,DOCKS,Restaurant,2.0,2023-07-24,1,[],CHATHAM
2304415,SUPREME BEAN PIE,School,1.0,2019-08-09,0,"['5', '37', '38', '38', '55', '56']",SOUTH SHORE
2304418,HUDSON,Grocery Store,3.0,2019-08-09,2,"['5', '55', '55']",OHARE
2304420,PETE'S MARKET #3,Grocery Store,1.0,2019-08-09,2,"['5', '14', '29', '43', '47', '47', '53', '55', '56']",ARCHER HEIGHTS
2304462,BIG BRICKS,Restaurant,1.0,2019-08-09,0,"['3', '5', '10', '10', '10', '16', '25', '37', '40', '47', '47', '48', '49', '51', '55', '55', '57', '60']",NORTH CENTER
2304468,BRIA OF FOREST EDGE,Long Term Care,1.0,2019-08-12,1,"['55', '55']",ASHBURN
2304486,Babas Halal,Restaurant,1.0,2019-08-12,0,"['3', '5', '33', '38', '38', '48', '55', '55', '55', '56', '56', '58']",AUBURN GRESHAM
2304503,CHICAGO MARRIOTT O'HARE HOTEL,Restaurant,1.0,2019-08-12,2,"['5', '10', '10', '22', '23', '40', '47', '49', '55', '55']",OHARE
2304514,ASHAR MART,Grocery Store,3.0,2019-08-12,0,"['5', '33', '36', '51', '53', '53', '54', '55']",ALBANY PARK
2578943,JOYFUL STEPS LEARNING CENTER LLC,Children's Services Facility,1.0,2023-07-24,1,[],WEST PULLMAN
2578949,RICHMOND MART,Grocery Store,3.0,2023-07-24,1,[],CHICAGO LAWN
