Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Per Capita Income,Unemployment
2453221,KITSCH'N ON ROSCOE,Restaurant,1.0,2020-10-09,2,"['10', '25', '38', '55']",north center,5,22.4,76.2,9.1,80.4,9.8,8.4,1.0,16.6,152.1,26.1,49.8,1.0,2.7,42.4,15.1,41.6,178.1,0.9,85.4,188.6,1.9,7.1,0.2,51615,4.5
2453224,"CHILDREN'S LAND ON BELMONT AVE,  INC.",Children's Services Facility,1.0,2020-10-09,1,"['38', '55']",dunning,17,12.5,64.7,6.8,82.7,9.9,19.9,3.7,23.7,191.5,25.9,42.5,5.2,4.9,53.9,24.4,32.0,233.9,0.1,,70.1,2.4,8.3,4.8,26347,8.6
2453225,NEW YORK PIZZA STYLE LLC,Restaurant,1.0,2020-10-09,0,"['24', '48', '54']",lincoln park,7,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40.0,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,71403,4.5
2453229,PAPA T'S ITALIANO,Restaurant,1.0,2020-10-09,1,"['55', '55', '56']",chicago lawn,66,20.1,85.3,9.4,78.4,10.8,67.4,22.4,25.0,179.3,26.1,73.0,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,1159.9,5.3,22.2,6.5,14405,11.9
2575012,SAWA SUSHI,Restaurant,1.0,2023-04-26,1,[],bridgeport,60,11.7,51.7,8.0,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8.0,54.4,15.8,40.1,384.9,0.7,110.8,65,9.9,17.3,4.8,24969,11.2
2453235,EL ASADERO COLOMBIANO,Restaurant,1.0,2020-10-09,1,"['43', '47', '55', '55', '57', '58']",portage park,15,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9,287.3,0.5,87.7,84.9,4.0,12.3,4.4,23617,10.6
2574996,CHICAGO BEST FOOD & TOBACCO,Grocery Store,3.0,2023-04-26,2,"['5', '38']",morgan park,75,13.2,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50.0,39.8,47.9,298.8,1.3,800.5,741.1,2.6,13.7,0.8,26185,14.9
2453339,HIGHLINE BAR AND LOUNGE,Restaurant,1.0,2020-10-14,1,"['47', '47', '56']",near north side,8,10.7,35.9,8.6,69.7,9.6,34.0,3.7,24.0,142.7,15.1,27.0,3.2,6.5,33.6,15.1,22.0,311.2,0.1,244.4,235.8,5.5,13.4,2.0,87163,5.2
2453366,MONEIL FOOD & LIQUOR,Grocery Store,3.0,2020-10-15,0,"['5', '47', '50', '55', '55', '55']",logan square,22,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209.0,159.3,8.4,17.2,3.2,29026,7.5
2574994,GARFIELD PARK HOSPITAL,Hospital,1.0,2023-04-26,1,"['49', '56']",humboldt park,23,19.2,80.7,12.3,70.9,11.7,77.9,29.0,26.3,211.1,26.6,94.1,22.7,9.8,48.0,52.5,53.5,447.7,1.3,1234.7,937.5,9.7,32.6,11.2,13391,12.3
2453384,VICKYS CAFE LLC,Restaurant,1.0,2020-10-15,0,"['1', '2', '3', '16', '25', '33', '38', '38', '47', '51', '51', '55', '55', '56', '58']",auburn gresham,71,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243.0,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,16022,24.2
2453392,CARE-A-LOT INC,Children's Services Facility,1.0,2020-10-15,1,"['47', '49', '53', '55']",forest glen,12,10.0,60.6,7.6,79.3,10.3,6.3,3.3,25.0,138.7,14.3,37.2,6.2,3.8,27.0,20.3,31.0,160.8,0.0,,.,2.2,6.1,1.3,41509,5.5
2453394,OSTIONERIA RESTAURANT EL EL TECOLOTE,Restaurant,1.0,2020-10-15,2,"['2', '47', '47', '49', '53', '53', '55', '55', '55', '56', '56', '60']",south lawndale,30,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,10697,11.5
2574982,GATEWAY TO LEARNING SPECIAL EDUCATION AND TRAINING,Restaurant,2.0,2023-04-26,1,[],lincoln square,4,17.1,61.0,8.1,80.5,9.7,38.4,5.0,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,195.5,8.5,9.5,3.1,35503,6.8
2453411,JJ FISH STATE INC.,Restaurant,2.0,2020-10-15,1,"['38', '47', '47', '49', '52', '53', '55', '55', '56']",chatham,44,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,1855.8,8.2,25.3,2.2,20320,19.0
2453451,DANK HAUS GERMAN AMERICAN CULTURAL CENTER,Catering,1.0,2020-10-15,0,"['10', '10', '49', '60']",lincoln square,4,17.1,61.0,8.1,80.5,9.7,38.4,5.0,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,195.5,8.5,9.5,3.1,35503,6.8
2453474,JENKINS INSTITUTE OF LOVE,Daycare,1.0,2020-10-16,1,"['55', '55']",chatham,44,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,1855.8,8.2,25.3,2.2,20320,19.0
2453505,EL NOPAL BAKERY,Bakery,2.0,2020-10-19,0,"['10', '10', '10', '37', '38', '40', '47', '48', '49', '49', '50', '55', '55', '55', '56']",south lawndale,30,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,10697,11.5
2453506,JOYFUL BEGINNINGS  INC.,Children's Services Facility,1.0,2020-10-19,0,"['10', '37', '38', '38', '44', '47', '47', '49', '51', '53', '55', '55', '55', '55', '56']",auburn gresham,71,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243.0,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,16022,24.2
